chlorides,quality
0.012,7
0.012,7
0.034,6
0.038,6
0.038,7
0.039,6
0.039,6
0.039,6
0.039,5
0.040999999999999995,6
0.040999999999999995,7
0.040999999999999995,5
0.040999999999999995,6
0.042,5
0.042,7
0.042,6
0.043,6
0.044000000000000004,7
0.044000000000000004,8
0.044000000000000004,6
0.044000000000000004,7
0.044000000000000004,6
0.045,4
0.045,6
0.045,5
0.045,8
0.046,6
0.046,6
0.046,6
0.046,7
0.047,5
0.047,5
0.047,6
0.047,6
0.048,5
0.048,7
0.048,7
0.048,7
0.048,6
0.048,5
0.048,6
0.048,7
0.049,5
0.049,5
0.049,6
0.049,5
0.049,6
0.049,6
0.049,5
0.049,5
0.05,6
0.05,5
0.05,6
0.05,7
0.05,5
0.05,4
0.05,6
0.05,5
0.05,6
0.05,7
0.05,6
0.05,7
0.051,6
0.052000000000000005,6
0.052000000000000005,7
0.052000000000000005,6
0.052000000000000005,7
0.052000000000000005,6
0.052000000000000005,6
0.052000000000000005,5
0.052000000000000005,7
0.052000000000000005,7
0.052000000000000005,7
0.053,5
0.053,6
0.053,5
0.053,5
0.053,5
0.054000000000000006,7
0.054000000000000006,6
0.054000000000000006,6
0.054000000000000006,6
0.054000000000000006,7
0.054000000000000006,4
0.054000000000000006,7
0.054000000000000006,4
0.054000000000000006,7
0.054000000000000006,7
0.054000000000000006,7
0.054000000000000006,5
0.054000000000000006,5
0.055,5
0.055,7
0.055,6
0.055,6
0.055,5
0.055,7
0.055,5
0.055,7
0.055999999999999994,5
0.055999999999999994,7
0.055999999999999994,6
0.055999999999999994,6
0.055999999999999994,6
0.055999999999999994,5
0.055999999999999994,5
0.055999999999999994,8
0.055999999999999994,6
0.057,5
0.057,4
0.057,5
0.057,5
0.057,5
0.057,6
0.057,6
0.057,4
0.057,6
0.057,7
0.057999999999999996,7
0.057999999999999996,5
0.057999999999999996,4
0.057999999999999996,6
0.057999999999999996,4
0.057999999999999996,5
0.057999999999999996,5
0.057999999999999996,7
0.057999999999999996,6
0.057999999999999996,6
0.057999999999999996,6
0.057999999999999996,6
0.057999999999999996,6
0.057999999999999996,6
0.059000000000000004,6
0.059000000000000004,6
0.059000000000000004,6
0.059000000000000004,5
0.059000000000000004,6
0.059000000000000004,5
0.059000000000000004,5
0.059000000000000004,6
0.059000000000000004,6
0.059000000000000004,6
0.059000000000000004,6
0.059000000000000004,6
0.059000000000000004,7
0.059000000000000004,6
0.059000000000000004,7
0.059000000000000004,7
0.059000000000000004,6
0.06,7
0.06,7
0.06,4
0.06,6
0.06,5
0.06,7
0.06,8
0.06,6
0.06,4
0.06,5
0.06,6
0.06,6
0.06,6
0.06,7
0.06,5
0.06,7
0.061,5
0.061,4
0.061,8
0.061,7
0.061,6
0.061,6
0.061,7
0.061,7
0.061,6
0.061,3
0.061,6
0.062,7
0.062,5
0.062,7
0.062,5
0.062,5
0.062,7
0.062,7
0.062,6
0.062,5
0.062,6
0.062,6
0.062,5
0.062,7
0.062,6
0.062,5
0.062,6
0.062,7
0.062,7
0.062,6
0.062,6
0.062,7
0.062,6
0.062,6
0.062,6
0.063,5
0.063,6
0.063,7
0.063,6
0.063,5
0.063,5
0.063,6
0.063,5
0.063,7
0.063,6
0.063,6
0.063,6
0.063,6
0.063,6
0.063,7
0.063,7
0.063,7
0.063,6
0.063,6
0.063,6
0.063,6
0.063,5
0.064,6
0.064,6
0.064,6
0.064,7
0.064,6
0.064,5
0.064,6
0.064,6
0.064,7
0.064,7
0.064,6
0.064,6
0.064,5
0.064,6
0.064,6
0.064,5
0.064,6
0.064,6
0.064,5
0.064,7
0.065,6
0.065,6
0.065,5
0.065,5
0.065,6
0.065,6
0.065,7
0.065,7
0.065,7
0.065,6
0.065,5
0.065,5
0.065,6
0.065,6
0.065,6
0.065,7
0.065,6
0.065,6
0.065,6
0.065,6
0.065,5
0.065,8
0.065,6
0.066,6
0.066,5
0.066,7
0.066,5
0.066,6
0.066,6
0.066,6
0.066,7
0.066,7
0.066,6
0.066,7
0.066,6
0.066,7
0.066,5
0.066,7
0.066,6
0.066,6
0.066,6
0.066,6
0.066,6
0.066,6
0.066,5
0.066,6
0.066,7
0.066,7
0.066,5
0.066,5
0.066,5
0.066,7
0.066,6
0.066,5
0.066,5
0.067,5
0.067,6
0.067,6
0.067,6
0.067,6
0.067,7
0.067,6
0.067,6
0.067,7
0.067,5
0.067,5
0.067,7
0.067,7
0.067,4
0.067,7
0.067,4
0.067,6
0.067,5
0.067,4
0.067,6
0.067,5
0.067,5
0.067,6
0.067,5
0.067,5
0.067,6
0.067,5
0.068,6
0.068,4
0.068,5
0.068,6
0.068,7
0.068,6
0.068,6
0.068,5
0.068,6
0.068,5
0.068,6
0.068,5
0.068,7
0.068,8
0.068,6
0.068,5
0.068,6
0.068,7
0.068,6
0.068,6
0.068,5
0.068,5
0.068,5
0.068,6
0.068,6
0.068,6
0.068,6
0.068,6
0.068,6
0.068,6
0.069,6
0.069,7
0.069,5
0.069,6
0.069,5
0.069,5
0.069,4
0.069,6
0.069,6
0.069,6
0.069,6
0.069,6
0.069,5
0.069,5
0.069,5
0.069,5
0.069,6
0.069,6
0.069,5
0.069,7
0.069,6
0.07,6
0.07,5
0.07,6
0.07,5
0.07,5
0.07,6
0.07,4
0.07,7
0.07,5
0.07,7
0.07,6
0.07,5
0.07,5
0.07,4
0.07,6
0.07,6
0.07,5
0.07,4
0.07,5
0.07,5
0.07,8
0.07,8
0.07,6
0.07,5
0.07,5
0.07,6
0.07,5
0.07,5
0.07,5
0.07,6
0.07,5
0.07,5
0.07,5
0.07,6
0.07,5
0.071,5
0.071,6
0.071,5
0.071,6
0.071,5
0.071,5
0.071,5
0.071,5
0.071,7
0.071,7
0.071,4
0.071,6
0.071,6
0.071,6
0.071,6
0.071,5
0.071,6
0.071,6
0.071,6
0.071,6
0.071,5
0.071,6
0.071,5
0.071,5
0.071,5
0.071,5
0.071,7
0.071,5
0.071,7
0.071,6
0.071,6
0.071,6
0.071,5
0.071,5
0.071,6
0.071,7
0.071,6
0.071,5
0.071,7
0.071,5
0.071,7
0.071,8
0.071,5
0.071,5
0.071,5
0.071,6
0.071,6
0.07200000000000001,5
0.07200000000000001,7
0.07200000000000001,6
0.07200000000000001,6
0.07200000000000001,5
0.07200000000000001,4
0.07200000000000001,4
0.07200000000000001,5
0.07200000000000001,6
0.07200000000000001,7
0.07200000000000001,5
0.07200000000000001,8
0.07200000000000001,6
0.07200000000000001,6
0.07200000000000001,5
0.07200000000000001,6
0.07200000000000001,6
0.07200000000000001,6
0.07200000000000001,6
0.07200000000000001,6
0.07200000000000001,6
0.07200000000000001,5
0.07200000000000001,7
0.07200000000000001,6
0.073,5
0.073,7
0.073,5
0.073,5
0.073,6
0.073,6
0.073,5
0.073,6
0.073,6
0.073,6
0.073,5
0.073,5
0.073,6
0.073,8
0.073,6
0.073,6
0.073,5
0.073,7
0.073,5
0.073,7
0.073,6
0.073,6
0.073,5
0.073,6
0.073,6
0.073,5
0.073,6
0.073,7
0.073,4
0.073,5
0.073,6
0.073,5
0.073,6
0.073,6
0.073,5
0.07400000000000001,5
0.07400000000000001,5
0.07400000000000001,6
0.07400000000000001,7
0.07400000000000001,6
0.07400000000000001,5
0.07400000000000001,6
0.07400000000000001,5
0.07400000000000001,5
0.07400000000000001,6
0.07400000000000001,6
0.07400000000000001,5
0.07400000000000001,6
0.07400000000000001,6
0.07400000000000001,6
0.07400000000000001,5
0.07400000000000001,5
0.07400000000000001,6
0.07400000000000001,5
0.07400000000000001,5
0.07400000000000001,5
0.07400000000000001,8
0.07400000000000001,5
0.07400000000000001,5
0.07400000000000001,6
0.07400000000000001,6
0.07400000000000001,5
0.07400000000000001,5
0.07400000000000001,5
0.07400000000000001,7
0.07400000000000001,7
0.07400000000000001,7
0.07400000000000001,5
0.07400000000000001,5
0.07400000000000001,6
0.07400000000000001,7
0.07400000000000001,7
0.07400000000000001,7
0.07400000000000001,5
0.07400000000000001,7
0.07400000000000001,7
0.07400000000000001,3
0.07400000000000001,7
0.07400000000000001,6
0.07400000000000001,7
0.07400000000000001,5
0.07400000000000001,6
0.07400000000000001,5
0.07400000000000001,6
0.07400000000000001,6
0.07400000000000001,5
0.07400000000000001,6
0.07400000000000001,6
0.07400000000000001,6
0.07400000000000001,6
0.075,5
0.075,5
0.075,7
0.075,7
0.075,6
0.075,6
0.075,6
0.075,4
0.075,5
0.075,6
0.075,5
0.075,7
0.075,5
0.075,5
0.075,7
0.075,6
0.075,5
0.075,7
0.075,6
0.075,5
0.075,6
0.075,6
0.075,5
0.075,7
0.075,6
0.075,7
0.075,6
0.075,5
0.075,6
0.075,5
0.075,5
0.075,6
0.075,6
0.075,5
0.075,7
0.075,5
0.075,7
0.075,5
0.075,5
0.075,5
0.075,5
0.075,6
0.075,5
0.075,6
0.075,6
0.076,6
0.076,5
0.076,5
0.076,5
0.076,6
0.076,8
0.076,5
0.076,6
0.076,6
0.076,6
0.076,5
0.076,6
0.076,5
0.076,5
0.076,5
0.076,6
0.076,6
0.076,5
0.076,5
0.076,6
0.076,5
0.076,5
0.076,5
0.076,6
0.076,6
0.076,6
0.076,6
0.076,6
0.076,5
0.076,5
0.076,5
0.076,5
0.076,6
0.076,6
0.076,6
0.076,5
0.076,5
0.076,6
0.076,5
0.076,5
0.076,5
0.076,6
0.076,5
0.076,5
0.076,6
0.076,5
0.076,5
0.076,5
0.076,5
0.076,6
0.076,5
0.077,5
0.077,6
0.077,6
0.077,5
0.077,6
0.077,5
0.077,6
0.077,5
0.077,6
0.077,6
0.077,5
0.077,5
0.077,5
0.077,5
0.077,5
0.077,6
0.077,5
0.077,5
0.077,5
0.077,5
0.077,6
0.077,5
0.077,5
0.077,6
0.077,6
0.077,6
0.077,6
0.077,6
0.077,5
0.077,7
0.077,5
0.077,5
0.077,6
0.077,5
0.077,6
0.077,5
0.077,6
0.077,5
0.077,6
0.077,5
0.077,6
0.077,6
0.077,6
0.077,6
0.077,7
0.077,5
0.077,5
0.078,6
0.078,5
0.078,5
0.078,6
0.078,5
0.078,5
0.078,5
0.078,5
0.078,6
0.078,6
0.078,6
0.078,6
0.078,7
0.078,5
0.078,6
0.078,6
0.078,5
0.078,6
0.078,6
0.078,6
0.078,6
0.078,5
0.078,5
0.078,6
0.078,6
0.078,5
0.078,5
0.078,4
0.078,6
0.078,8
0.078,7
0.078,7
0.078,6
0.078,6
0.078,6
0.078,6
0.078,5
0.078,5
0.078,5
0.078,5
0.078,7
0.078,6
0.078,6
0.078,5
0.078,5
0.078,3
0.078,6
0.078,5
0.078,5
0.078,5
0.078,7
0.079,5
0.079,6
0.079,6
0.079,6
0.079,6
0.079,6
0.079,5
0.079,5
0.079,6
0.079,6
0.079,5
0.079,6
0.079,6
0.079,7
0.079,6
0.079,6
0.079,5
0.079,5
0.079,6
0.079,6
0.079,6
0.079,6
0.079,5
0.079,5
0.079,6
0.079,5
0.079,6
0.079,6
0.079,5
0.079,5
0.079,5
0.079,6
0.079,6
0.079,5
0.079,6
0.079,5
0.079,5
0.079,6
0.079,4
0.079,5
0.079,5
0.079,5
0.079,6
0.08,5
0.08,5
0.08,5
0.08,5
0.08,7
0.08,6
0.08,5
0.08,6
0.08,5
0.08,5
0.08,5
0.08,6
0.08,5
0.08,6
0.08,5
0.08,4
0.08,6
0.08,8
0.08,6
0.08,6
0.08,6
0.08,7
0.08,6
0.08,5
0.08,5
0.08,6
0.08,6
0.08,4
0.08,6
0.08,5
0.08,5
0.08,6
0.08,6
0.08,5
0.08,6
0.08,5
0.08,6
0.08,5
0.08,5
0.08,5
0.08,4
0.08,5
0.08,6
0.08,6
0.08,6
0.08,5
0.08,5
0.08,5
0.08,6
0.08,6
0.08,5
0.08,5
0.08,5
0.08,5
0.08,5
0.08,5
0.08,5
0.08,5
0.08,5
0.08,5
0.08,5
0.08,5
0.08,5
0.08,6
0.08,6
0.08,6
0.081,6
0.081,6
0.081,5
0.081,5
0.081,6
0.081,6
0.081,5
0.081,5
0.081,7
0.081,6
0.081,5
0.081,5
0.081,6
0.081,5
0.081,6
0.081,5
0.081,5
0.081,6
0.081,5
0.081,5
0.081,5
0.081,6
0.081,5
0.081,5
0.081,5
0.081,5
0.081,6
0.081,5
0.081,4
0.081,5
0.081,6
0.081,5
0.081,6
0.081,6
0.081,5
0.081,5
0.081,6
0.081,5
0.081,6
0.081,5
0.08199999999999999,5
0.08199999999999999,5
0.08199999999999999,6
0.08199999999999999,5
0.08199999999999999,5
0.08199999999999999,5
0.08199999999999999,6
0.08199999999999999,6
0.08199999999999999,5
0.08199999999999999,5
0.08199999999999999,6
0.08199999999999999,6
0.08199999999999999,6
0.08199999999999999,7
0.08199999999999999,5
0.08199999999999999,5
0.08199999999999999,7
0.08199999999999999,7
0.08199999999999999,5
0.08199999999999999,6
0.08199999999999999,5
0.08199999999999999,6
0.08199999999999999,6
0.08199999999999999,5
0.08199999999999999,5
0.08199999999999999,6
0.08199999999999999,3
0.08199999999999999,6
0.08199999999999999,6
0.08199999999999999,6
0.08199999999999999,5
0.08199999999999999,6
0.08199999999999999,4
0.08199999999999999,5
0.08199999999999999,5
0.08199999999999999,6
0.08199999999999999,5
0.08199999999999999,5
0.08199999999999999,6
0.08199999999999999,6
0.08199999999999999,5
0.08199999999999999,6
0.08199999999999999,6
0.08199999999999999,5
0.08199999999999999,5
0.08199999999999999,6
0.083,5
0.083,5
0.083,5
0.083,5
0.083,6
0.083,5
0.083,7
0.083,7
0.083,5
0.083,5
0.083,5
0.083,6
0.083,5
0.083,6
0.083,7
0.083,7
0.083,5
0.083,6
0.083,5
0.083,7
0.083,5
0.083,8
0.083,6
0.083,6
0.083,6
0.083,4
0.083,6
0.083,6
0.083,6
0.083,5
0.083,6
0.083,5
0.083,6
0.083,5
0.083,5
0.084,6
0.084,6
0.084,5
0.084,5
0.084,5
0.084,5
0.084,4
0.084,5
0.084,5
0.084,5
0.084,6
0.084,5
0.084,6
0.084,3
0.084,6
0.084,5
0.084,5
0.084,6
0.084,5
0.084,6
0.084,4
0.084,5
0.084,5
0.084,6
0.084,6
0.084,5
0.084,6
0.084,5
0.084,5
0.084,6
0.084,6
0.084,7
0.084,6
0.084,7
0.084,5
0.084,6
0.084,5
0.084,5
0.084,6
0.084,6
0.084,5
0.084,5
0.084,6
0.084,6
0.084,6
0.084,7
0.084,6
0.084,6
0.084,6
0.085,6
0.085,6
0.085,7
0.085,6
0.085,6
0.085,6
0.085,7
0.085,5
0.085,6
0.085,6
0.085,5
0.085,6
0.085,5
0.085,5
0.085,6
0.085,6
0.085,5
0.085,6
0.085,6
0.085,7
0.085,7
0.085,5
0.085,5
0.085,6
0.085,5
0.086,5
0.086,6
0.086,5
0.086,5
0.086,4
0.086,5
0.086,6
0.086,6
0.086,5
0.086,5
0.086,6
0.086,6
0.086,5
0.086,5
0.086,6
0.086,5
0.086,5
0.086,6
0.086,6
0.086,6
0.086,5
0.086,8
0.086,5
0.086,5
0.086,6
0.086,5
0.086,5
0.086,5
0.086,6
0.086,5
0.086,4
0.087,5
0.087,5
0.087,7
0.087,5
0.087,5
0.087,7
0.087,6
0.087,5
0.087,5
0.087,5
0.087,5
0.087,5
0.087,5
0.087,6
0.087,5
0.087,7
0.087,6
0.087,6
0.087,7
0.087,5
0.087,6
0.087,7
0.087,4
0.087,5
0.087,6
0.08800000000000001,6
0.08800000000000001,7
0.08800000000000001,5
0.08800000000000001,7
0.08800000000000001,5
0.08800000000000001,5
0.08800000000000001,5
0.08800000000000001,5
0.08800000000000001,4
0.08800000000000001,6
0.08800000000000001,6
0.08800000000000001,6
0.08800000000000001,6
0.08800000000000001,6
0.08800000000000001,6
0.08800000000000001,6
0.08800000000000001,6
0.08800000000000001,5
0.08800000000000001,6
0.08800000000000001,6
0.08800000000000001,6
0.08800000000000001,5
0.08800000000000001,5
0.08800000000000001,4
0.08800000000000001,5
0.08800000000000001,5
0.08800000000000001,5
0.08800000000000001,5
0.08800000000000001,5
0.08800000000000001,5
0.08800000000000001,6
0.08800000000000001,5
0.08900000000000001,6
0.08900000000000001,5
0.08900000000000001,5
0.08900000000000001,5
0.08900000000000001,6
0.08900000000000001,7
0.08900000000000001,5
0.08900000000000001,6
0.08900000000000001,5
0.08900000000000001,5
0.08900000000000001,4
0.08900000000000001,5
0.08900000000000001,6
0.08900000000000001,5
0.08900000000000001,6
0.08900000000000001,5
0.08900000000000001,6
0.08900000000000001,7
0.08900000000000001,6
0.08900000000000001,4
0.08900000000000001,5
0.08900000000000001,5
0.08900000000000001,5
0.08900000000000001,5
0.08900000000000001,5
0.09,5
0.09,6
0.09,6
0.09,5
0.09,6
0.09,5
0.09,5
0.09,5
0.09,5
0.09,5
0.09,6
0.09,6
0.09,7
0.09,6
0.09,5
0.09,5
0.09,6
0.09,5
0.09,5
0.09,5
0.09,6
0.091,6
0.091,6
0.091,5
0.091,6
0.091,6
0.091,5
0.091,6
0.091,6
0.091,6
0.091,7
0.091,7
0.091,5
0.091,5
0.091,5
0.091,6
0.091,6
0.091,6
0.091,5
0.091,7
0.092,6
0.092,6
0.092,5
0.092,6
0.092,6
0.092,5
0.092,5
0.092,6
0.092,5
0.092,6
0.092,5
0.092,7
0.092,5
0.092,5
0.092,7
0.092,5
0.092,5
0.092,6
0.092,7
0.092,7
0.092,6
0.092,6
0.09300000000000001,5
0.09300000000000001,5
0.09300000000000001,6
0.09300000000000001,5
0.09300000000000001,7
0.09300000000000001,7
0.09300000000000001,5
0.09300000000000001,6
0.09300000000000001,4
0.09300000000000001,6
0.09300000000000001,5
0.09300000000000001,7
0.09300000000000001,6
0.09300000000000001,7
0.09300000000000001,5
0.09300000000000001,5
0.09300000000000001,7
0.09300000000000001,5
0.09300000000000001,6
0.09300000000000001,6
0.09300000000000001,7
0.094,6
0.094,6
0.094,6
0.094,6
0.094,7
0.094,7
0.094,5
0.094,5
0.094,5
0.094,6
0.094,6
0.094,5
0.094,5
0.094,7
0.094,5
0.094,5
0.094,5
0.094,5
0.094,6
0.095,5
0.095,6
0.095,6
0.095,5
0.095,7
0.095,6
0.095,5
0.095,5
0.095,5
0.095,5
0.095,6
0.095,6
0.095,6
0.095,6
0.095,5
0.095,5
0.095,7
0.095,6
0.095,5
0.095,7
0.095,7
0.095,6
0.095,5
0.096,5
0.096,6
0.096,6
0.096,6
0.096,5
0.096,5
0.096,4
0.096,5
0.096,5
0.096,6
0.096,6
0.096,5
0.096,5
0.096,6
0.096,4
0.096,5
0.096,4
0.096,7
0.09699999999999999,5
0.09699999999999999,5
0.09699999999999999,6
0.09699999999999999,6
0.09699999999999999,5
0.09699999999999999,5
0.09699999999999999,7
0.09699999999999999,6
0.09699999999999999,3
0.09699999999999999,5
0.09699999999999999,5
0.09699999999999999,6
0.09699999999999999,6
0.09699999999999999,5
0.09699999999999999,6
0.09699999999999999,6
0.09699999999999999,6
0.09699999999999999,5
0.098,6
0.098,5
0.098,5
0.098,5
0.098,6
0.098,6
0.098,5
0.098,5
0.098,5
0.098,5
0.098,5
0.098,5
0.099,5
0.099,5
0.099,5
0.099,5
0.099,5
0.099,5
0.099,5
0.099,5
0.1,6
0.1,5
0.1,6
0.1,5
0.1,7
0.1,5
0.1,5
0.1,6
0.1,5
0.1,6
0.1,6
0.1,5
0.1,5
0.10099999999999999,7
0.10099999999999999,5
0.10099999999999999,7
0.10099999999999999,5
0.10099999999999999,5
0.102,5
0.102,5
0.102,6
0.102,4
0.102,5
0.102,6
0.102,5
0.102,5
0.102,5
0.102,6
0.10300000000000001,4
0.10300000000000001,5
0.10300000000000001,6
0.10300000000000001,6
0.10300000000000001,6
0.10300000000000001,7
0.10300000000000001,5
0.10400000000000001,5
0.10400000000000001,6
0.10400000000000001,5
0.10400000000000001,6
0.10400000000000001,5
0.10400000000000001,5
0.10400000000000001,5
0.10400000000000001,7
0.10400000000000001,5
0.10400000000000001,5
0.10400000000000001,5
0.10400000000000001,7
0.10400000000000001,7
0.10400000000000001,6
0.10400000000000001,5
0.10400000000000001,6
0.105,5
0.105,6
0.105,5
0.105,5
0.105,5
0.105,4
0.106,6
0.106,5
0.106,5
0.106,5
0.106,5
0.106,5
0.106,5
0.106,6
0.107,5
0.107,7
0.107,5
0.107,7
0.107,5
0.107,6
0.107,5
0.107,6
0.107,5
0.10800000000000001,5
0.109,7
0.109,5
0.109,7
0.11,6
0.11,6
0.11,5
0.11,5
0.11,6
0.11,7
0.11,5
0.11,6
0.111,5
0.111,5
0.111,5
0.111,6
0.111,5
0.111,6
0.111,5
0.11199999999999999,5
0.11199999999999999,5
0.11199999999999999,5
0.11199999999999999,5
0.11199999999999999,5
0.11199999999999999,5
0.113,5
0.114,6
0.114,5
0.114,6
0.114,5
0.114,6
0.114,4
0.114,6
0.114,5
0.114,6
0.114,5
0.114,5
0.115,7
0.115,5
0.115,5
0.115,5
0.115,5
0.11599999999999999,5
0.11599999999999999,7
0.11699999999999999,6
0.11699999999999999,5
0.11699999999999999,6
0.11699999999999999,5
0.11800000000000001,6
0.11800000000000001,5
0.11800000000000001,6
0.11800000000000001,6
0.11800000000000001,6
0.11800000000000001,6
0.11800000000000001,5
0.11800000000000001,5
0.11900000000000001,6
0.11900000000000001,6
0.11900000000000001,6
0.12,6
0.12,5
0.12,7
0.121,6
0.121,7
0.122,5
0.122,5
0.122,6
0.122,5
0.122,5
0.122,5
0.122,6
0.12300000000000001,6
0.12300000000000001,5
0.12300000000000001,6
0.12300000000000001,4
0.12300000000000001,6
0.12300000000000001,6
0.124,5
0.124,5
0.124,7
0.125,6
0.126,5
0.127,5
0.128,7
0.132,5
0.132,6
0.132,6
0.132,6
0.136,5
0.13699999999999998,3
0.14300000000000002,7
0.145,3
0.146,5
0.147,4
0.14800000000000002,6
0.152,5
0.152,5
0.153,6
0.157,5
0.157,6
0.157,6
0.159,5
0.161,5
0.165,5
0.166,5
0.166,5
0.166,5
0.168,5
0.16899999999999998,5
0.17,5
0.171,6
0.171,6
0.172,4
0.174,6
0.17600000000000002,5
0.17800000000000002,5
0.17800000000000002,6
0.18600000000000003,5
0.19,6
0.19399999999999998,6
0.2,3
0.205,5
0.205,5
0.213,6
0.214,6
0.214,6
0.214,6
0.21600000000000003,7
0.222,6
0.226,6
0.226,6
0.23,6
0.235,5
0.23600000000000002,5
0.24100000000000002,6
0.243,6
0.25,6
0.263,5
0.267,3
0.27,5
0.332,6
0.337,6
0.341,6
0.34299999999999997,5
0.358,7
0.36,5
0.368,5
0.369,5
0.387,5
0.401,5
0.40299999999999997,5
0.413,6
0.414,5
0.414,6
0.415,6
0.415,5
0.415,5
0.42200000000000004,5
0.46399999999999997,5
0.467,5
0.61,4
0.611,5
